Order_Processed,Date_Collected,Site,Stand_Age,Growth_Stage,Stand,Plot,Treatment,Ntrt,Ptrt,Catrt,Species,Tree_Number,TagID,Subplot,Shots,Canopy_Locations,Field_Notes,Number_of_Leaves,Total_Fresh_Mass,Total_Leaf_Area,Leaf_Area_for_SLA,Oven_Dry_Mass_with_Bag,Oven_Dry_Bag_Weight,Total_Oven_Dry_Mass,Dry_Mass_Per_Leaf,LA_per_Leaf,SLA_cm2_g,SLA_m2_kg,LDMC_g_g,LDMC,Lab_Notes,Caution,Date Processed,d15N,d13C,N,propC,CN,Ca,Fe,K,Mg,Mn,P 214,P 178,S,Sr,Zn,Stomatal_Density,Extra_Notes,Former_TagID,Species_ID
429,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,BE,1,775,B2,2,2,,5,2.9,241.528,241.306,NA,NA,1.23,0.25,48.31,196.18,19.62,0.42,424.14,"very damaged sample. Lots of brown spots, insect damage, one leaf with light green spots",,8/4/2022,-1.27,-29.99,23.38350066,0.485098419,20.75,11.25482869,0.041421925,10.0891317,1.161292238,1.318588213,1.466630253,1.484452833,1.376167226,0.026647833,0.03520469,NA,,,FAGR
430,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,BE,2,435,B1,2,2,,7,4.2,321.109,320.929,NA,NA,1.97,0.28,45.87,162.91,16.29,0.47,469.05,"Brown spots, light spots, minor insect damage and holes",,8/4/2022,-0.3,-29.11,22.85957142,0.488332077,21.36,7.8776,0.0532,7.9424,1.0128,1.3011,1.4121,1.4629,1.3735,0.0204,0.0216,NA,,,FAGR
431,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,PC,1,441,C1,3,2,,9,2.27,150.536,150.415,NA,NA,0.84,0.09,16.73,179.07,17.91,0.37,370.04,"Small holes, few brown spots",,8/4/2022,-1.7,-26.15,30.16370107,0.501417708,16.62,11.48911596,0.056330774,18.75329379,2.644669428,0.100276907,3.04335997,3.094695231,1.479098525,0.03578587,0.014454462,NA,,,PRPE2
432,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,PC,2,2638,C2,2,2,,12,2.18,179.478,178.505,NA,NA,0.83,0.07,14.96,215.07,21.51,0.38,380.73,"minor insect damage and holes, some brown spots",,8/4/2022,-3.19,-28.47,24.81548293,0.468672549,18.89,10.80170044,0.072153191,17.16678917,2.425808805,0.096012848,3.632987369,3.686703779,1.377268411,0.040002217,0.017778218,NA,,,PRPE2
433,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,PC,3,2652,B3,3,2,,18,4.07,271.279,271.067,NA,NA,1.48,0.08,15.07,183.15,18.32,0.36,363.64,,,8/4/2022,-3.23,-27.5,23.19772734,0.48684625,20.99,11.53089001,0.05378222,17.3665276,2.540217424,0.093632788,3.245511622,3.328822696,1.343072496,0.040879842,0.019638445,NA,,,PRPE2
434,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,WB,1,420,B2,4,2,,9,3.99,201.142,200.98,NA,NA,1.69,0.19,22.35,118.92,11.89,0.42,423.56,"excluded samples with fridge damage. Tiny holes, brown sports, minor insect damage on edges",,8/4/2022,-1.17,-28.94,16.34197829,0.484169025,29.63,11.27823786,0.039914856,7.00117354,1.445029743,1.279802411,1.390747587,1.444324282,1.14057825,0.036305926,0.222478364,NA,,,BEPA
435,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,WB,2,429,B2,3,2,,8,5.15,235.74,235.62,NA,NA,2.24,0.28,29.47,105.19,10.52,0.43,434.95,"tiny holes and tiny brown spots, minor insect damage along margins",,8/4/2022,-0.08,-28.32,16.75295764,0.454077388,27.1,9.222807452,0.030959152,7.318317871,1.550514165,1.046578603,1.409787534,1.454812342,1.098829513,0.030971278,0.146578516,NA,,,BEPA
436,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,WB,3,418,B3,3,2,,5,2.32,105.188,105.098,NA,NA,0.97,0.19,21.04,108.35,10.83,0.42,418.1,tiny holes and insect damage,,8/4/2022,-1.27,-26.45,18.79534812,0.481267015,25.61,11.10261116,0.050745515,10.42362856,2.551094323,1.224771625,2.161994858,2.193745289,1.373183789,0.042172335,0.261435094,NA,,,BEPA
437,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,YB,1,1808,B2,3,2,,6,2.87,194.585,194.382,NA,NA,1.08,0.18,32.43,179.98,18,0.38,376.31,"tiny holes and insect damage, one fuzzy leaf",,8/4/2022,-2.29,-29.59,23.11740007,0.479402596,20.74,9.965653065,0.064118194,9.423705994,2.091899389,1.949858873,2.392741705,2.403664325,1.238318602,0.028286768,0.197249902,254,,,BEAL2
438,8/1/2022,BEF,Young,Third,C1,1,P,0,1,0,YB,2,No tag,Unknown,2,2,"middle of cluster, probably just at 10 cm",8,4.41,335.227,335.044,NA,NA,1.36,0.17,41.9,246.36,24.64,0.31,308.39,"tiny holes, brown spots, and insect damage",,8/4/2022,-1.85,-29.92,23.8592968,0.474039624,19.87,12.34286784,0.053132198,16.77907894,2.198531521,2.741240368,2.636291195,2.721249849,1.438847021,0.033644202,0.21326668,212,,,BEAL2
