Year,pre_post,Site,Stand,Age,Plot,Treatment,Ntrt,Ptrt,Species,TagID,TotalSA,NumberOfLeaves,WetMass,DryMass,SLA,LMA,LDMC,N,C,Al,Ca,K,Mg,Mn,Na,P,Sr,S,C:N,N:P,Notes,Tag_when_sampled
2010,pre,BEF,C1,Young,1,P,No,Yes,YB,1,NA,NA,NA,NA,NA,NA,NA,23.12,483.22,NA,6.34,13.08,1.42,1.69,-0.017,1.08,0.018,NA,20.9,21.42,,
2009,pre,BEF,C1,Young,2,N,Yes,No,BE,1,NA,NA,NA,NA,NA,NA,NA,25.43,485.71,NA,6.16,1.31,0.83,0.06,NA,1.08,0.007,1.21,19.1,23.49,"NOT TAGGED, UNDER 10 CM.",
2008,pre,BEF,C7,Old,4,CONTROL,No,No,BE,1098,NA,NA,NA,NA,NA,NA,NA,22.76,489.53,NA,6.49,4.93,1.21,NA,NA,1.05,NA,NA,21.51,21.6,original tag was 437,437
2016,post,BEF,C1,Young,1,P,No,Yes,BE,435,55.95,11,5.33,2.5,22.38,0.045,0.47,35.32,485.17,0.019,6.94,7.06,1.21,1.21,0.042,1.14,0.017,1.27,13.74,31.07,,
2016,post,BEF,C1,Young,1,P,No,Yes,BE,775,90.26,12,8.83,3.93,22.97,0.044,0.45,28,483.98,0.015,7.36,7.6,1.32,1.4,0.026,1.23,0.013,1.4,17.28,22.68,,
2009,pre,BEF,C6,Mid,3,N,Yes,No,RM,448,NA,NA,NA,NA,NA,NA,NA,21.49,496.29,NA,4.75,7.15,0.7,0.44,NA,1.31,0.011,2.19,23.1,16.39,"listed as SM in inventory, new tag is 1268 in 2023",
2009,pre,BEF,C6,Mid,3,N,Yes,No,SM,453,NA,NA,NA,NA,NA,NA,NA,23.63,497.04,NA,11.41,6.27,1.84,0.47,NA,1.27,0.022,1.63,21.03,18.65,"listed as RM in inventory, new tag is 1267",
2016,post,BEF,C1,Young,1,P,No,Yes,BE,787,122.15,10,7.44,3.16,38.65,0.026,0.42,30.97,480.53,0.027,6.63,9.37,1.29,1.26,0.025,1.27,0.015,1.47,15.51,24.46,,
2016,post,BEF,C1,Young,1,P,No,Yes,PC,441,27.66,10,2.8,1.03,26.85,0.037,0.37,28.7,487.49,0.017,9.26,18.08,1.92,0.08,0.144,2.08,0.034,1.29,16.98,13.78,,
2009,pre,HB,HBM,Mid,4,P,No,Yes,YB,455,NA,NA,NA,NA,NA,NA,NA,29.13,485.76,NA,7.88,5.9,2.89,0.7,NA,1.4,0.021,1.63,16.68,20.84,,
2008,pre,BEF,C7,Old,4,CONTROL,No,No,RM,456,NA,NA,NA,NA,NA,NA,NA,16.21,490.42,NA,7.57,5.01,1,NA,NA,1.01,NA,NA,30.26,16,listed as SM in inventory,
2016,post,BEF,C1,Young,1,P,No,Yes,PC,2638,23.85,11,2.72,0.9,26.49,0.038,0.33,29.19,486.1,0.009,6.92,12.21,2.63,0.07,0.045,2.54,0.024,1.24,16.65,11.5,,
2016,post,BEF,C1,Young,1,P,No,Yes,WB,418,41.68,10,5.47,1.71,24.37,0.041,0.31,24.64,492.62,0.02,8.07,10.56,2.03,1.02,0.022,1.61,0.033,1.22,20,15.26,,
2016,post,BEF,C1,Young,1,P,No,Yes,WB,420,38.33,13,4.63,2.99,12.82,0.078,0.65,22.08,488.61,0.017,11.02,9.38,1.51,1.61,0.026,1.37,0.038,1.22,22.13,16.14,,
2016,post,BEF,C1,Young,1,P,No,Yes,WB,429,41.02,11,5.02,1.87,21.93,0.046,0.37,20.74,490.48,0.023,7.21,7.05,1.18,0.93,0.012,1.2,0.025,1.07,23.65,17.24,,
2016,post,BEF,C1,Young,2,N,Yes,No,BE,714,73.31,12,7.56,3.16,23.2,0.043,0.42,27.64,460.22,0.012,4.92,7.99,1.21,1.4,0.118,0.85,0.005,1.43,16.65,32.55,,
2016,post,BEF,C1,Young,2,N,Yes,No,BE,722,123.01,9,9.62,3.22,38.2,0.026,0.33,28.26,478,0.024,4.98,9.5,1.51,1.2,0.068,0.79,0.006,1.42,16.92,35.89,,
2016,post,BEF,C1,Young,2,N,Yes,No,BE,734,74.77,10,6.55,1.86,40.2,0.025,0.28,29.42,488.15,0.014,5.27,7.59,1.14,1.57,0.035,1.01,0.006,1.48,16.59,29.15,,
2016,post,BEF,C1,Young,2,N,Yes,No,PC,1813,71.42,11,8.18,2.67,26.75,0.037,0.33,36.58,480.5,0.003,1.93,16.61,1.37,0.03,0.017,1.49,0.002,1.55,13.14,24.51,,
2016,post,BEF,C1,Young,2,N,Yes,No,PC,2654,28.43,21,3.44,1.24,22.93,0.044,0.36,33.96,495.55,0.008,5.14,14.05,2.17,0.08,0.032,1.11,0.012,1.42,14.59,30.63,,
2016,post,BEF,C1,Young,2,N,Yes,No,WB,410,38.28,11,7.95,2.45,15.62,0.064,0.31,26.91,502.77,0.014,4.27,6.41,1.08,0.94,0.032,0.84,0.009,1.6,18.68,32.13,,
2016,post,BEF,C1,Young,2,N,Yes,No,WB,712,58.74,13,9.5,3.34,17.59,0.057,0.35,26.61,507.48,0.012,5.52,6.76,1.62,1.46,0.035,0.96,0.011,1.43,19.07,27.85,,
2015,post,BEF,C1,Young,3,CONTROL,No,No,BE,484,769.96,13,6.81,3,256.65,0.004,0.44,27.56,538.42,0.017,6.57,9.09,1.3,0.64,0.412,1.12,0.011,0.92,19.54,24.68,,
2016,post,BEF,C1,Young,3,CONTROL,No,No,BE,484,151.88,12,10.43,4.46,34.05,0.029,0.43,27.78,483.33,0.012,4.68,10.14,1.12,0.99,0.027,0.94,0.007,1.37,17.4,29.47,,
2015,post,BEF,C1,Young,3,CONTROL,No,No,BE,748,809.77,14,10.39,4.63,174.9,0.006,0.45,28.67,485.61,0.016,6.9,9.28,1.3,0.76,0.13,1.18,0.011,0.91,16.94,24.36,,
2009,pre,BEF,C1,Young,2,N,Yes,No,WB,1,NA,NA,NA,NA,NA,NA,NA,21.52,492.73,NA,4.95,7.81,1.61,0.42,NA,1,0.011,0.93,22.89,21.48,"NOT TAGGED, UNDER 10 CM.",
2010,pre,BEF,C1,Young,2,N,Yes,No,YB,1,NA,NA,NA,NA,NA,NA,NA,23.28,491.04,NA,6.35,12.99,1.67,1.67,-0.001,1.1,0.014,NA,21.09,21.13,,
2010,pre,BEF,C1,Young,3,CONTROL,No,No,YB,1,NA,NA,NA,NA,NA,NA,NA,21.91,473.44,NA,12.29,12.05,2.74,0.45,0.289,1.17,95.24,NA,21.61,18.79,,
2009,pre,BEF,C1,Young,4,NP,Yes,Yes,BE,1,NA,NA,NA,NA,NA,NA,NA,22.69,483.17,NA,6.49,6.8,1.23,1.14,NA,1.26,0.004,1.84,21.29,18.02,"NOT TAGGED, UNDER 10 CM.",
2009,pre,BEF,C1,Young,4,NP,Yes,Yes,PC,1,NA,NA,NA,NA,NA,NA,NA,26.79,502.78,NA,9.57,14.55,2.34,0.39,NA,0.96,0.018,1.15,18.76,28.01,"NOT TAGGED, UNDER 10 CM.",
2010,pre,BEF,C1,Young,4,NP,Yes,Yes,WB,1,NA,NA,NA,NA,NA,NA,NA,24.63,501.2,NA,9.22,8.82,1.82,0.47,0.238,1.11,92.626,NA,20.35,22.12,,
2016,post,BEF,C1,Young,3,CONTROL,No,No,BE,748,101.09,13,8.73,3.84,26.33,0.038,0.44,25.72,461.07,0.011,6.09,8.98,1.23,1.65,0.021,0.9,0.01,1.28,17.92,28.57,,
2015,post,BEF,C1,Young,3,CONTROL,No,No,BE,1053,428.89,10,6.33,3.1,138.35,0.007,0.49,25.3,486.49,0.017,7.32,7.55,1.71,0.62,0.089,1.06,0.017,0.77,19.23,23.97,original tag was 482,482
2016,post,BEF,C1,Young,3,CONTROL,No,No,BE,1053,93.56,10,7.99,3.55,26.36,0.038,0.44,27.26,479.26,0.022,5.31,8.77,1.34,1.03,0.031,0.87,0.012,1.12,17.58,31.16,original tag was 482,482
2016,post,BEF,C1,Young,3,CONTROL,No,No,PC,480,37,17,3.83,1.65,22.42,0.045,0.43,24.64,489.61,0.019,8.07,11.64,1.27,0.1,0.021,1.22,0.026,1.36,19.87,20.23,,
2016,post,BEF,C1,Young,3,CONTROL,No,No,PC,749,53.16,14,3.81,1.16,45.83,0.022,0.3,26.67,467.05,0.012,8.08,24.3,2.24,0.13,0.048,2.11,0.025,1.66,17.51,12.66,,
2016,post,BEF,C1,Young,3,CONTROL,No,No,PC,750,35.5,16,3.94,1.64,21.65,0.046,0.42,24.85,472.69,0.011,7.01,13.13,2.32,0.11,0.03,1.38,0.023,1.28,19.02,18.01,,
2016,post,BEF,C1,Young,3,CONTROL,No,No,WB,481,49.67,14,6.15,2.41,20.61,0.049,0.39,24.45,497.24,0.024,4.83,8.89,1.26,0.95,0.01,0.98,0.013,1.33,20.34,24.87,,
2016,post,BEF,C1,Young,3,CONTROL,No,No,WB,483,33.85,14,4.43,1.82,18.6,0.054,0.41,24.99,491.9,0.053,5.81,10.78,1.66,0.53,0.791,1.35,0.014,0.82,19.68,18.56,,
2016,post,BEF,C1,Young,3,CONTROL,No,No,WB,486,62.91,15,7.74,2.82,22.31,0.045,0.36,23.16,482.89,0.068,7.43,9.15,1.91,0.63,0.939,1.03,0.019,0.73,20.85,22.45,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,BE,756,87.45,12,8.09,3.96,22.08,0.045,0.49,25.23,480.47,0.013,7.07,5.3,1.46,1.24,0.022,0.99,0.008,1.1,19.05,25.48,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,BE,757,179.95,14,9.87,4.54,39.64,0.025,0.46,32,473.51,0.015,6.04,8.57,1.1,1.77,0.015,1.42,0.006,1.63,14.8,22.52,,
2010,pre,BEF,C1,Young,4,NP,Yes,Yes,YB,1,NA,NA,NA,NA,NA,NA,NA,22.79,483.69,NA,9.91,9.45,3.02,0.59,0.162,1.19,92.626,NA,21.22,19.22,,
2009,pre,BEF,C2,Young,1,NP,Yes,Yes,PC,1,NA,NA,NA,NA,NA,NA,NA,24.18,488.74,NA,14.5,13.72,3.2,0.23,NA,1.29,0.043,1.29,20.21,18.79,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,BE,761,100.33,10,7.54,3.59,27.95,0.036,0.48,30.25,485.47,0.013,4.78,7.73,1.08,1.07,0.023,1.12,0.005,1.35,16.05,27.07,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,PC,767,53.69,17,4.64,1.73,31.03,0.032,0.37,34.11,492.9,0.006,4.89,14.7,1.91,0.07,0.034,2.46,0.006,1.55,14.45,13.87,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,PC,1518,38,15,3.24,1.53,24.84,0.04,0.47,32.57,482.78,0.014,7.92,17.27,2.59,0.17,0.032,2.66,0.015,1.53,14.82,12.24,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,WB,449,59.66,15,7.34,3.97,15.03,0.067,0.54,24.69,489.08,0.027,6.84,10.33,1.29,0.45,0.579,1.5,0.013,0.86,19.81,16.48,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,WB,451,51.53,15,5.9,3.4,15.16,0.066,0.58,21.74,480.24,0.068,7.95,12.48,1.3,0.57,1.476,1.27,0.016,0.72,22.09,17.17,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,WB,464,55.45,13,6.42,2.38,23.3,0.043,0.37,21.08,489.88,0.065,5.8,11.29,1.11,0.52,0.877,1.42,0.009,0.67,23.24,14.81,,
2016,post,BEF,C1,Young,5,Ca,No,No,PC,1065,27.58,13,2.88,0.86,32.07,0.031,0.3,31.22,493.25,0.011,9.2,11.52,1.95,0.06,0.03,1.88,0.025,1.47,15.8,16.64,,
2010,pre,BEF,C2,Young,1,NP,Yes,Yes,YB,1,NA,NA,NA,NA,NA,NA,NA,21.64,488.12,NA,14.38,7.2,3.29,0.45,0.234,1.19,92.377,NA,22.56,18.24,,
2009,pre,BEF,C2,Young,2,CONTROL,No,No,BE,1,NA,NA,NA,NA,NA,NA,NA,22.31,484.13,NA,6.6,5.66,1.37,0.58,NA,0.85,0.009,1.4,21.7,26.25,,
