Site,Stand,Plot,Treatment,Age,Subplot,Species,previous tags,TagID,DBH2008,DBH2009 ,DBH2010,DBH2011,DBH2015,DBH2019,DBH2023,,liveBA11,liveBA15,liveBA19,liveBA23,,BA2011,BA2015,BA2019,BA2023,,chgBA11_15,chgBA15_19,chgBA19_23,,RBAIyr11_15,RBAIyr15_19,RBAIyr19_23,,deadyr,dead2008-2010,dead2011,dead2015,dead2019,dead2023,notes2008-10,notes2011,notes2015,notes2019,notes2023,,ingrowthyear,ingrowth5x5
BEF,C1,1,P,Mid,A1,WB,,1035,,,,10.5,12.6,14.7,16.9,,86.6,124.7,169.7,224.3,,86.6,124.7,169.7,224.3,,0.44,0.361111111,0.321717803,,0.095445115,0.08012345,0.072221928,,,,,,,,,new add; outside,,,,,2011,out
BEF,C1,1,P,Mid,B2,PC,,1026,,,,10.6,12,12.6,12.7,,88.2,113.1,124.7,126.7,,88.2,113.1,124.7,126.7,,0.281594874,0.1025,0.015936004,,0.063990353,0.024695077,0.003960412,,,,,,,,,new add; inside 5x5,,,checked,,2011,in
BEF,C1,1,P,Mid,B2,WB,,1025,,,,10.2,11.8,13.1,14.1,,81.7,109.4,134.8,156.1,,81.7,109.4,134.8,156.1,,0.338331411,0.2324763,0.158498922,,0.075575541,0.053645809,0.037466085,,,,,,,,,new add; inside 5x5,,,,,2011,in
BEF,C1,1,P,Mid,C1,PC,,1048,,,,10.4,11.4,11.9,12.3,,84.9,102.1,111.2,118.8,,84.9,102.1,111.2,118.8,,0.201553254,0.089642967,0.068356754,,0.046973661,0.021694499,0.016667815,,,,,,,,,new add; inside 5x5,,,,,2011,in
BEF,C1,1,P,Mid,B3,WB,,1804,,,,,10.9,10.9,,,0,93.3,0,0,,0,93.3,93.3,0,,,0,,,,0,,,19,,,,dead,,Added to inventory in 2014,,,not found,,,2015,out
BEF,C1,1,P,Mid,A1,WB,,1812,,,,,11.3,12.7,14.25,,0,100.3,126.7,159.5,,0,100.3,126.7,159.5,,,0.263137286,0.258990018,,,0.060138578,0.059267315,,,,,,,,Added to inventory in 2014,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,A1,WB,,1827,,,,,11.2,12.8,13.7,,0,98.5,128.7,147.4,,0,98.5,128.7,147.4,,,0.306122449,0.145568848,,,0.069044968,0.034559085,,,,,,,,Added to inventory in 2014,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,A3,PC,,2199,,,,,10.7,12.3,12.8,,0,89.9,118.8,128.7,,0,89.9,118.8,128.7,,,0.321425452,0.082953269,,,0.072162632,0.020122741,,,,,,,,,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,B1,WB,,1809,,,,,10.5,11.3,12.1,,0,86.6,100.3,115,,0,86.6,100.3,115,,,0.158185941,0.146605059,,,0.037396007,0.034792955,,,,,,,,Added to inventory in 2014,,,,,,2015,out
BEF,C1,1,P,Mid,B1,WB,,1810,,,,,11.3,12.2,14.2,,0,100.3,116.9,158.4,,0,100.3,116.9,158.4,,,0.165635524,0.354743349,,,0.039060161,0.078857927,,,,,,,,Added to inventory in 2014,,,,,,2015,out
