Date,Site,Stand,Plot,Treatment,Species,Leaf_Area,Number_of_Leaves,Wet_Mass,Dry_Mass,N,C,Al,Ca,K,Mg,Mn,Na,P,Sr,S,CN,NP
9/28/2014,BEF,C2,1,NP,BE,NA,25,3.15,2.97,13.848,489.906,12.13,6.98,8.92,1.67,0.63,0.04,1.09,0.01,0.59,35.38,12.70459
9/28/2014,BEF,C2,1,NP,PC,349.14,25,2.08,1.73,9.791,505.623,28.94,12.17,11.35,2.54,0.29,0.33,0.9,0.03,0.36,51.64,10.87889
9/28/2014,BEF,C2,1,NP,RM,NA,8,3.31,2.81,7.311,515.306,3.56,4.28,3.22,0.61,0.3,0.02,0.71,0.01,0.35,70.48,10.29718
9/28/2014,BEF,C2,1,NP,WB,NA,30,4.69,4.14,7.66,514.27,20.09,7.56,5.21,1.3,0.46,0.08,0.77,0.02,0.29,67.14,9.948052
9/28/2014,BEF,C2,1,NP,YB,NA,16,2.85,2.69,9.614,495.367,16.56,10.4,5.97,1.92,0.57,0.05,1.31,0.03,0.33,51.53,7.338931
9/28/2014,BEF,C2,2,Control,BE,1300.61,31,2.73,2.57,17.151,478.166,20.9,7.51,11.23,2.2,0.84,0.08,0.76,0.01,1.03,27.88,22.56711
9/28/2014,BEF,C2,2,Control,PC,317.19,32,1.82,1.61,10.982,507.836,56.73,14.33,11.9,2.74,0.29,0.11,0.42,0.03,0.47,46.24,26.14762
9/28/2014,BEF,C2,2,Control,RM,NA,10,4.49,3.98,7.46,508.98,6.47,6.7,4.95,0.93,0.47,0.05,0.35,0.01,0.48,68.23,21.31429
9/28/2014,BEF,C2,2,Control,WB,NA,21,3.35,3.22,10.76,519.99,15.08,8.39,6.28,1.29,0.45,0.11,0.29,0.02,0.43,48.33,37.10345
9/28/2014,BEF,C2,2,Control,YB,NA,27,2.48,2.3,10.673,490.253,15.35,10.42,7.97,2.1,0.64,0.1,0.23,0.02,0.32,45.93,46.40435
9/28/2014,BEF,C2,3,P,BE,NA,16,2.37,2.22,10.676,481.597,18.22,7.89,8.88,1.35,0.71,0.15,0.56,0.01,0.51,45.11,19.06429
9/28/2014,BEF,C2,3,P,PC,NA,27,2.01,1.9,8.313,503.323,25.9,17,14.86,2.24,0.25,0.07,1.68,0.04,0.36,60.55,4.948214
9/28/2014,BEF,C2,3,P,RM,NA,14,4.15,3.61,8.938,511.292,2.77,5.65,3.68,0.98,0.42,0.03,0.75,0.01,0.37,57.2,11.91733
9/28/2014,BEF,C2,3,P,WB,NA,21,2.87,2.61,8.269,499.936,27.01,13.25,11.18,1.97,0.53,0.23,0.99,0.03,0.35,60.46,8.352525
9/28/2014,BEF,C2,3,P,YB,NA,26,2.96,2.72,8.911,482.113,15.47,15.17,6.16,3.05,0.97,0.07,0.55,0.04,0.29,54.1,16.20182
9/28/2014,BEF,C2,4,N,BE,NA,18,3.08,2.89,19.43,490.79,12.87,7.05,8.46,1.77,0.52,0.05,0.7,0.01,0.71,25.26,27.75714
9/28/2014,BEF,C2,4,N,PC,NA,26,1.95,1.83,13.059,516.042,27.03,10.08,13.9,2.12,0.29,0.15,0.47,0.02,0.49,39.52,27.78511
9/28/2014,BEF,C2,4,N,RM,NA,14,4.27,3.87,9.647,512.74,13.1,8.71,5.43,1.3,0.53,0.03,0.44,0.02,0.47,53.15,21.925
9/28/2014,BEF,C2,4,N,WB,NA,22,3.04,2.83,11.472,525.582,17.81,6.59,6.73,1.21,0.42,0.18,0.33,0.02,0.46,45.81,34.76364
9/28/2014,BEF,C2,4,N,YB,NA,23,1.97,1.82,9.702,491.933,24.53,15.02,11.32,3.15,0.57,0.23,0.4,0.04,0.44,50.7,24.255
10/4/2014,BEF,C1,1,P,BE,821.2,15,2.56,2.33,10.014,408.045,9.34,9.97,6.99,1.92,0.53,0.08,0.65,0.02,0.52,40.75,15.40615
10/4/2014,BEF,C1,1,P,PC,344.6,18,2.25,1.82,8.923,509.007,41.82,15.11,10.55,2.25,0.21,0.19,2.16,0.05,0.36,57.04,4.131019
10/4/2014,BEF,C1,1,P,RM,421.97,10,2.21,2.04,7.316,500.041,2.93,8.37,5.19,1.56,0.39,0.07,0.68,0.02,0.31,68.35,10.75882
10/4/2014,BEF,C1,1,P,WB,524.99,16,4.05,3.4,14.271,493.616,43.81,9.17,8.9,1.56,0.41,0.56,1.2,0.03,0.54,34.59,11.8925
10/4/2014,BEF,C1,1,P,YB,500.93,13,1.82,1.6,10.266,488.865,33.92,14.08,6.62,2.89,0.69,0.18,0.85,0.05,0.3,47.62,12.07765
10/4/2014,BEF,C1,2,N,BE,884.87,17,3.01,2.5,13.642,488.856,7.27,5.62,6.06,1.22,0.8,0.04,0.4,0.01,0.56,35.83,34.105
10/4/2014,BEF,C1,2,N,PC,269.98,12,2.48,1.68,14.153,522.023,14.53,9.59,9.23,1.83,0.23,0.25,0.45,0.02,0.54,36.88,31.45111
10/4/2014,BEF,C1,2,N,RM,886.27,20,5.98,3.97,8.902,491.635,3.39,10.12,4.79,1.59,0.69,0.07,0.36,0.02,0.37,55.22752,24.72778
10/4/2014,BEF,C1,2,N,WB,610.62,15,4.01,3.17,13.568,507.866,18.02,8.43,8.7,1.17,0.4,0.14,0.38,0.02,0.54,37.43,35.70526
10/4/2014,BEF,C1,2,N,YB,301.42,10,1.36,1.13,12.81,495.66,29.95,9.98,5.82,1.99,0.69,0.21,0.28,0.02,0.38,38.69,45.75
10/4/2014,BEF,C1,3,Control,BE,470.96,9,1.43,1.14,13.767,488.169,6.61,1.06,4.05,1.68,0.26,0.03,0.7,0.01,0.59,35.46,19.66714
10/4/2014,BEF,C1,3,Control,PC,235.82,10,2.21,1.63,10.579,516.837,24.51,15.17,6.91,1.88,0.38,0.48,0.88,0.03,0.44,48.86,12.02159
10/4/2014,BEF,C1,3,Control,RM,860.77,14,6.64,4.27,8.449,483.776,6.5,9.29,5.09,1.56,0.51,0.06,0.68,0.01,0.41,57.26,12.425
10/4/2014,BEF,C1,3,Control,WB,450.77,12,2.85,2.31,11.433,498.805,24.25,8.3,7.16,1.19,0.55,0.12,0.58,0.01,0.41,43.63,19.71207
10/4/2014,BEF,C1,3,Control,YB,537.65,13,2.17,1.55,11.466,489.039,18.79,13.01,6.11,2.54,0.58,0.21,0.53,0.02,0.33,42.65,21.63396
10/4/2014,BEF,C1,4,NP,BE,1150.74,22,5.38,4.39,9.477,496.243,19.04,7.69,5.52,1.37,0.69,0.06,0.21,0.01,0.48,52.36,45.12857
10/4/2014,BEF,C1,4,NP,PC,351.47,17,3.27,2.17,10.964,521.768,19.46,12.2,8.86,1.95,0.15,0.41,0.48,0.04,0.49,47.59,22.84167
10/4/2014,BEF,C1,4,NP,RM,951.78,14,6.99,4.83,7.713,483.95,10.12,11.22,3.55,1.88,0.51,0.04,0.32,0.03,0.39,62.74,24.10313
10/4/2014,BEF,C1,4,NP,WB,279.1,9,2.02,1.61,11.417,511.198,30.75,10.59,6.37,1.97,0.52,0.21,0.34,0.03,0.45,44.78,33.57941
10/4/2014,BEF,C1,4,NP,YB,680.88,16,3.25,2.21,10.606,494.996,18.93,12.97,5.84,2.45,0.56,0.15,0.27,0.03,0.35,46.67,39.28148
10/4/2014,BEF,C1,5,CA,BE,704.44,14,1.8,1.59,11.024,482.482,13.86,8.99,6.96,1.82,0.57,0.09,0.58,0.02,0.5,43.77,19.0069
10/4/2014,BEF,C1,5,CA,PC,370.28,17,2.41,2.13,8.554,498.772,50.71,15.34,10.81,2.59,0.4,0.33,0.39,0.04,0.37,58.31,21.93333
10/4/2014,BEF,C1,5,CA,RM,661.25,13,4.12,3.61,6.572,484.952,11.82,10.42,3.68,1.41,0.4,0.04,0.27,0.02,0.34,73.79,24.34074
10/4/2014,BEF,C1,5,CA,WB,530.4,16,4.01,3.4,10.017,499.746,31.74,11.23,6.41,1.53,0.43,0.43,0.43,0.03,0.39,49.89,23.29535
10/4/2014,BEF,C1,5,CA,YB,692.1,16,2.54,2.15,11.237,491.705,25.76,15.24,6.25,2.21,0.53,0.29,0.34,0.05,0.34,43.76,33.05
10/4/2014,BEF,C2,1,NP,BE,1594.24,33,9.62,4.59,9.521,490.283,7.82,8.04,5.32,1.16,0.63,0.59,0.38,0.02,0.42,51.49,25.05526
