Date,Site ,Stand,Plot,Treatment,Species,Al,Ca,K,Mg,Mn,Na,P,Sr,S,N,C,P_first_week_collection,Comments
10/10/2015,BEF,C1,5,Ca,BE,17.62869442,11.03673406,6.342286631,1.923624129,0.896330204,0.263639179,0.242619515,0.020458445,0.428592389,8.73,473.1,NA,
10/10/2015,BEF,C1,5,Ca,RM,8.770940749,9.121331844,4.717465745,1.396216897,0.567570617,0.181731186,0.588301329,0.016113427,0.519417495,12.94,491.17,NA,
10/10/2015,BEF,C1,3,Control,BE,14.91758366,5.167206399,7.548912578,1.076146052,1.268211118,0.176777084,0.375543199,0.006778184,0.510121399,10.26,491.92,NA,
10/10/2015,BEF,C1,3,Control,RM,10.61479282,10.84348967,7.013681122,1.574398118,1.458728068,0.195751936,0.808635391,0.020584554,0.591609643,12.93,486.06,NA,
10/10/2015,BEF,C4,3,Control,BE,18.13790227,11.06680657,4.860647412,1.92163856,2.172389537,0.227883289,0.20550174,0.024219639,0.455817665,9.03,475.58,NA,
10/10/2015,BEF,C4,3,Control,RM,9.638183522,7.396291249,3.926427277,1.19051618,1.299637487,0.140903075,0.446378368,0.016470703,0.493863962,8.83,509.02,NA,
10/10/2015,BEF,C4,2,N,BE,18.03021677,6.768951493,5.61967866,1.367651217,1.423946933,0.173637177,0.320641093,0.012151528,0.549310484,12.75,490.63,NA,
10/10/2015,BEF,C4,2,N,RM,9.367345364,7.624540003,6.134565668,1.330577313,1.513418034,0.338448615,0.72313076,0.012429975,0.659128638,13.85,489.57,NA,
10/10/2015,BEF,C4,1,NP,BE,13.71950579,9.446895378,6.551839856,1.423498463,1.042762848,0.23050816,0.372582848,0.015611687,0.505519573,11.66,487.41,NA,
10/10/2015,BEF,C4,1,NP,RM,8.6955328,6.375604272,5.851500576,1.171835654,0.964206194,0.40090566,1.008630346,0.010677691,0.5877066,15.63,502.27,1.752677,
10/10/2015,BEF,C4,4,P,BE,16.94517985,9.429692683,6.520332874,1.33658944,2.257091592,0.122331621,0.713063417,0.023557095,0.718056917,9.4,475.76,NA,
10/10/2015,BEF,C4,4,P,RM,9.752458381,6.431135698,5.869843017,1.205971664,1.622401198,0.368005872,1.615930269,0.014839282,0.764622804,16.14,503.48,1.734667,
10/10/2015,BEF,C6,5,Ca,BE,18.58027274,8.800435924,3.417344194,1.291617339,0.765935418,0.193850905,0.157775736,0.014773772,0.424301213,9.53,489.43,NA,
10/10/2015,BEF,C6,5,Ca,RM,10.99539138,7.900166645,6.225077094,0.703730096,0.737910919,0.256486863,0.543648274,0.013544857,0.607236862,11.59,499.02,NA,
10/10/2015,BEF,C6,2,Control,BE,18.47340618,7.487415094,5.994655295,0.884543199,1.644088762,0.135615995,0.334386265,0.011477159,0.599567497,10.57,500.1,NA,
10/10/2015,BEF,C6,2,Control,RM,7.753595884,5.6670239,6.379622547,0.831157435,1.023847373,0.184003052,0.594973518,0.007798622,0.723403805,12.76,515.86,NA,
10/10/2015,BEF,C6,3,N,BE,36.64357109,7.561061706,3.36875464,0.97367415,1.926895487,0.234902679,0.195047613,0.012862284,0.518248674,11,506.5,NA,
10/10/2015,BEF,C6,3,N,RM,8.394577204,8.681345937,5.094722212,1.048377109,1.876387125,0.113500823,0.76022976,0.013401491,0.653099399,14.91,505.34,NA,
10/10/2015,BEF,C6,1,NP,BE,21.96862241,7.319569063,8.106850831,0.69409562,1.281056984,0.119837184,0.482961668,0.013115421,0.582781533,11.5,507.01,NA,
10/10/2015,BEF,C6,1,NP,RM,12.1987389,5.784148266,8.369779338,1.08134946,0.815644367,0.13857649,1.408261562,0.007894528,0.737263201,15.27,497.4,1.361852,
10/10/2015,BEF,C6,4,P,BE,17.36093995,8.706737091,6.092938532,1.007652172,1.992356746,0.110279765,0.634979966,0.014543839,0.583801058,9.25,496.4,NA,
10/10/2015,BEF,C6,4,P,RM,11.22361866,6.25317893,7.44657811,0.600929593,1.372495275,0.149995556,2.121942438,0.00823839,0.687855405,11.13,508.97,1.110633,P concentration from first week of collection used in analysis
10/10/2015,BEF,C8,5,Ca,BE,16.94860694,5.979797172,5.49556857,0.78560262,0.882795198,0.139268713,0.222261039,0.009744012,0.498453278,8.8,506.23,NA,
10/10/2015,BEF,C8,5,Ca,SM,13.35695752,8.701962733,5.002038684,0.264967563,1.430940327,0.116737018,0.451804765,0.022093749,0.596173607,8.52,491.49,NA,
10/10/2015,BEF,C8,2,Control,BE,15.60740388,9.213791827,4.258875159,1.102245736,1.119025419,0.160450408,0.356252187,0.024524792,0.455674302,8.11,494.44,NA,
10/10/2015,BEF,C8,2,Control,SM,21.73422324,8.847771557,8.070545056,1.21871922,1.183892039,0.230524763,0.401096895,0.036564881,0.889988464,7.28,488.4,NA,
10/10/2015,BEF,C8,3,N,BE,20.49700123,7.282615656,5.976649108,1.272009818,1.549944002,0.163170853,0.405580761,0.017217343,0.499487017,9.23,497.95,NA,
10/10/2015,BEF,C8,3,N,SM,20.48501195,4.170993751,7.13829591,0.260639362,1.526076499,0.175191024,0.59665855,0.013902136,0.61222879,12.54,509.07,NA,
10/10/2015,BEF,C8,4,NP,BE,18.32825797,6.004337643,5.296597823,0.559009415,1.620274708,0.156121352,0.270325184,0.008993855,0.41930518,8,504.13,NA,
10/10/2015,BEF,C8,4,NP,SM,19.9918204,3.197564335,5.767008357,0.210177968,1.299186881,0.134489092,0.717456773,0.006286532,0.556199451,12.85,508.6,NA,*
10/10/2015,BEF,C8,1,P,BE,25.28485826,5.014261451,7.183082855,0.779552578,0.925936396,0.16069618,1.086089821,0.010360385,0.612231716,10.54,502.55,1.011687,
10/10/2015,BEF,C8,1,P,SM,14.80028607,6.711802353,8.163027518,0.31043431,1.316556096,0.175057576,2.06439091,0.019823462,0.7943491,10.72,505.17,1.29186,P concentration from first week of collection used in analysis
10/10/2015,BEF,C9,1,Control,BE,26.50237552,7.400341493,5.136255889,1.375815598,1.0112967,0.1180841,0.276849129,0.013567146,0.500024197,10.48,491.28,NA,
10/10/2015,BEF,C9,1,Control,SM,19.35128714,5.454398047,6.368163331,0.322689298,1.143022701,0.147871463,0.394413861,0.015748937,0.6983267,11.18,503.71,NA,
10/10/2015,BEF,C9,4,N,BE,21.24496693,5.770333429,4.400890313,0.761739489,1.664780308,0.115489179,0.242898385,0.010026238,0.547432675,10.73,503.84,NA,
10/10/2015,BEF,C9,4,N,SM,15.7734001,4.026545752,5.571363937,0.354506227,1.171480414,0.174976711,0.298643228,0.009574517,0.538795505,11.11,512.01,NA,
10/10/2015,BEF,C9,3,NP,BE,24.20185514,7.744589813,5.991921954,1.306923232,1.275928275,0.220541762,0.326616887,0.012377207,0.507980806,9.94,490.75,NA,
10/10/2015,BEF,C9,3,NP,SM,26.87615032,5.201663168,6.480516133,0.273549304,1.50355022,0.229888559,0.804253485,0.012392012,0.706925928,14.51,505.87,NA,
10/10/2015,BEF,C9,2,P,BE,23.71632223,5.132096969,11.66300427,0.719094879,1.321998525,0.16043527,0.573763417,0.007201489,0.567968196,13.16,622.69,NA,
10/10/2015,BEF,C9,2,P,SM,23.34698004,5.184425446,7.665865981,0.30415417,1.443419342,0.197786178,0.734075628,0.013814416,1.034722613,11.71,501.33,NA,
10/11/2015,HB,Ca,1,Ca,BE,16.18751248,8.923033985,4.645832402,1.498338316,0.603967654,0.245486691,0.615331199,0.024637581,0.53528545,9.62,494.44,NA,
