Site,Stand,Plot,Treatment,Subplot,Species,Tag,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,N,Comments
BEF,C1,1,P,B1,BE,435,0.04351361,0.021781787,9.325696059,0.052228723,4.625073723,1.355936499,1.754209835,0.073173448,0.359053849,0.562272067,0.020472134,0.024266691,5.892047277,
BEF,C1,1,P,B2,BE,775,0.054471232,0.017279844,9.531958555,0.051948225,4.188884144,1.457903288,1.904700991,0.08681153,0.315234802,0.572517696,0.02234928,0.023775422,6.464499939,
BEF,C1,1,P,C1/C2,BE,787,0.030909984,0.019454635,8.903920679,0.043265954,4.041766201,1.313222994,1.995609525,0.071207295,0.275802905,0.492232966,0.018479798,0.027199181,5.993042487,
BEF,C1,1,P,C2,PC,2638,0.035727672,0.016469482,13.17643322,0.044860902,6.007588964,2.169936896,0.127356648,0.031150461,1.862034717,0.374017443,0.041152514,0.016552126,5.530128565,
BEF,C1,1,P,B2,PC,652,0.030116465,0.019845054,9.488807355,0.053361286,7.380654804,1.775386821,0.081865884,0.031388992,1.683128636,0.400845907,0.028250093,0.020239537,5.823181969,
BEF,C1,1,P,C1,PC,441,0.0304179,0.015941152,10.81573624,0.050102627,7.065643685,1.543056625,0.088429181,0.041715977,1.806171462,0.377181963,0.031547708,0.013314349,5.535880581,
BEF,C1,1,P,B3,WB,418,0.043762462,0.023427461,10.77666165,0.038556124,3.717858421,1.531374123,1.887896622,0.029237914,0.769360521,0.510287803,0.032180783,0.185193183,6.279425764,
BEF,C1,1,P,B2,WB,420,0.056142429,0.020011506,10.79606441,0.044770386,5.647946193,1.445803876,1.487689603,0.083499926,0.545371524,0.499292958,0.03462664,0.210886119,6.59141206,
BEF,C1,1,P,B2,WB,429,0.045092751,0.023407266,9.68839957,0.037240986,3.560735572,1.551643105,1.647783182,0.045776363,0.712341856,0.508218945,0.0303277,0.17712223,6.156167622,
BEF,C1,2,N,C1,BE,714,0.024435115,0.015275037,6.691842553,0.050023995,2.142708207,1.077741022,1.986949802,0.02286929,0.165647827,0.69493796,0.006154105,0.024558733,7.946652371,
BEF,C1,2,N,B1,BE,722,0.032265727,0.017466427,7.257620265,0.056811966,3.014069964,1.268945139,1.206278504,0.067003426,0.158726562,0.789296019,0.011065323,0.021122342,8.564611418,
BEF,C1,2,N,B2,BE,734,0.028569949,0.018655127,6.556299668,0.050024202,2.822702407,1.006485232,1.757919904,0.037507435,0.124310357,0.649200121,0.007902281,0.024176221,7.72111283,
BEF,C1,2,N,C1,PC,2637,0.021397052,0.017725028,8.471442269,0.057797614,6.284851133,1.76014193,0.0980343,0.032393943,0.253397355,0.522991681,0.018102247,0.019564236,9.155714436,
BEF,C1,2,N,A2,PC,2654,0.021850095,0.016586887,8.825306587,0.064484426,6.872654212,2.208458363,0.120228814,0.047537279,0.275844124,0.565757577,0.019599002,0.017471549,8.703671443,
BEF,C1,2,N,C3,PC,1813,0.021720182,0.015334408,7.033104956,0.073221646,9.085020961,1.302600249,0.130280381,0.017302863,0.253639617,0.513996817,0.012732872,0.019289639,8.728775526,
BEF,C1,2,N,C3,WB,410,0.022826531,0.017417744,7.618954248,0.03947209,4.079229055,1.143206733,1.923802785,0.000364824,0.201298069,0.725081839,0.01816377,0.175070817,10.48349236,
BEF,C1,2,N,C1,WB,712,0.028188929,0.018549644,7.716473441,0.047633011,3.560111754,1.168504947,2.146988313,0.048711754,0.207016936,0.646601676,0.016809629,0.18861841,9.549276875,
BEF,C1,2,N,B1,WB,201,0.02175541,0.014848682,6.741586738,0.045086279,3.953231455,1.17116861,2.083543089,0.030742379,0.168317997,0.715516014,0.01378186,0.234283257,10.95377281,
BEF,C1,3,Control,B2,BE,482,0.036092703,0.015966549,8.423281875,0.058212199,3.158548795,1.001829708,2.027675051,0.001674675,0.113931578,0.591673372,0.01761031,0.022055282,6.222295417,
