Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C1,1,P,0,1,BE,0.0267,0.0191,8.4002,0.0395,5.4634,0.8651,1.7806,5.6169,1.5709,0.7385,0.0133,0.0258,,0.4963,0.0082,8.152,60.88,17,2.79,1990
BEF,C1,1,P,0,1,PC,0.0295,0.0177,14.569,0.0539,10.9693,2.1606,0.1614,0.1566,4.0165,0.7287,0.0425,0.024,Reran and averaged,0.4988,0.0087,8.74,57.08,28,2.51,1990
BEF,C1,1,P,0,1,WB,0.0266,0.0191,9.2229,0.0346,7.5149,1.2246,1.5977,5.4997,1.6868,0.6039,0.0245,0.1726,,0.5099,0.0062,6.188,82.4,28,4.19,1990
BEF,C1,1,P,0,1,YB,0.0194,0.0295,12.8396,0.0581,7.6567,1.9539,3.2761,0.3026,2.9925,0.7131,0.0344,0.2489,,0.4907,0.008,8.027,61.13,18,2.62,1990
BEF,C1,2,N,1,0,BE,0.0191,0.0137,6.79,0.0407,2.5441,1.1235,1.6506,0.4429,0.2067,0.8422,0.007,0.0209,,0.5033,0.0097,9.687,51.96,29,5.3,1990
BEF,C1,2,N,1,0,PC,0.0211,0.0184,9.4947,0.074,10.1095,2.0566,0.1784,6.4168,0.4509,0.9147,0.0208,0.0171,,0.5063,0.0148,14.769,34.28,27,3.25,1990
BEF,C1,2,N,1,0,WB,0.0174,0.0162,6.1913,0.0423,5.4027,0.9874,1.7219,0.4585,0.2667,0.7747,0.0118,0.1651,,0.5073,0.0112,11.195,45.32,29,4.8,1990
BEF,C1,2,N,1,0,YB,0.013,0.0191,8.2086,0.0567,5.5348,1.3506,1.891,5.6707,0.2246,0.8246,0.0173,0.1544,,0.5047,0.0178,18.82350895,28.66060178,29,5.62,1990
BEF,C1,3,Control,0,0,BE,0.0224,0.0183,8.926,0.0383,5.3284,1.1658,1.6439,0.4386,0.2116,0.7208,0.0149,0.023,,0.5005,0.0078,7.753,64.55,28,3.37,1990
BEF,C1,3,Control,0,0,PC,0.0294,0.0213,10.469,0.0555,11.7526,1.9736,0.167,4.7266,0.6324,0.757,0.0281,0.022,,0.5008,0.0101,10.069,49.74,30,2.87,1990
BEF,C1,3,Control,0,0,WB,0.0317,0.0172,8.0696,0.0444,7.5207,1.4543,1.3725,5.4394,0.2893,0.7162,0.02,0.2418,,0.513,0.0091,9.068,56.57,28,4.07,1990
BEF,C1,3,Control,0,0,YB,0.0168,0.0271,12.2726,0.0479,6.5396,2.3645,3.5995,0.2978,0.3561,0.7927,0.0261,0.3257,,0.4955,0.011,11.03,44.92,29,4.46,1990
BEF,C1,4,NP,1,1,BE,0.0281,0.0117,6.3833,0.041,6.6707,0.8245,1.3267,5.9969,1.2851,0.8154,0.0064,0.0274,,0.4958,0.0096,9.637,51.45,19,2.84,1990
BEF,C1,4,NP,1,1,PC,0.0414,0.0198,14.5151,0.0679,10.9438,2.12,0.4213,0.5399,1.617,0.871,0.0263,0.0212,,0.5021,0.0123,12.274,40.91,26,2.37,1990
BEF,C1,4,NP,1,1,WB,0.0212,0.0206,7.7612,0.0388,6.5878,0.9538,2.0998,4.4919,1.0494,0.6252,0.0135,0.1796,,0.5125,0.0071,7.066,72.54,29,4.4,1990
BEF,C1,4,NP,1,1,YB,0.0157,0.0259,13.4178,0.0491,10.1394,2.3207,4.3315,6.0623,1.5979,0.743,0.0226,0.2702,,0.4804,0.0097,9.747,49.28,14,2.49,1990
