Year,Sample_ID,Site,Stand,Plot,Species,N,C,Ca,K,Mg,Mn,Na,P,Sr,Comments
2010,1,BEF,C1,1,PC,11.158,478.788,15.42,12.51,2.62,0.11,0.05,0.8,NA,
2010,2,BEF,C1,1,YB,9.736,486.323,8.52,10.6,1.53,0.95,0.04,0.42,NA,
2010,3,BEF,C1,1,BE,14.63,458.89,7.64,8.34,1.25,0.59,0.07,0.57,NA,SHAKEN FROM TREE
2010,4,BEF,C1,1,BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,5,BEF,C1,1,PC,13.777,495.744,NA,NA,NA,NA,NA,NA,NA,
2010,6,BEF,C1,1,YB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,7,BEF,C1,1,WB,8.243,480.971,11.48,7.74,2.12,0.67,0.06,0.32,NA,
2010,8,BEF,C1,2,PC,14.836,490.665,13.99,13.27,2.36,0.19,0.05,0.91,NA,
2010,10,BEF,C1,2,BE,NA,NA,11.51,8.68,1.19,0.82,0.04,0.42,NA,
2010,11,BEF,C1,2,BE,13.521,458.047,9.02,7.29,1.52,1,0.04,0.67,NA,SHAKEN FROM TREE
2010,12,BEF,C1,2,PC,13.399,502.363,10.96,6.56,2.81,0.32,0.05,0.71,NA,
2010,13,BEF,C1,2,YB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,14,BEF,C1,2,WB,12.998,492.065,10.92,5.69,2.22,0.67,0.07,0.48,NA,
2010,15,BEF,C1,3,PC,15.764,491.233,12.24,13.2,2.16,0.13,0.06,0.95,NA,
2010,16,BEF,C1,3,BE,12.383,453.43,10.56,9.84,2.09,0.78,0.09,0.51,NA,SHAKEN FROM TREE
2010,17,BEF,C1,3,BE,13.08,469.083,8.32,9.55,1,0.83,0.05,0.61,NA,
2010,18,BEF,C1,3,PC,17.107,495.591,NA,NA,NA,NA,NA,NA,NA,
2010,19,BEF,C1,3,YB,8.859,435.702,NA,NA,NA,NA,NA,NA,NA,
2010,20,BEF,C1,3,WB,11.664,489.339,13.46,8.04,2.82,0.67,0.1,0.4,NA,
2010,21,BEF,C1,4,PC,15.365,486.717,14.28,12.65,2.36,0.25,0.07,0.93,NA,
2010,22,BEF,C1,4,RM,9.796,456.989,NA,NA,NA,NA,NA,NA,NA,
2010,23,BEF,C1,4,YB,12.965,475.044,10.71,8.77,2.01,1.56,0.05,0.35,NA,
2010,24,BEF,C1,4,BE,6.395,457.798,11.56,6.41,1.65,1.06,0.06,0.27,NA,SHAKEN FROM TREE
2010,25,BEF,C1,4,BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,26,BEF,C1,4,PC,13.532,481.144,NA,NA,NA,NA,NA,NA,NA,
2010,27,BEF,C1,4,YB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,28,BEF,C1,4,WB,10.202,484.624,11.37,8.5,1.7,0.56,0.09,0.33,NA,
2010,29,BEF,C2,1,RM,12.034,481.582,NA,NA,NA,NA,NA,NA,NA,
2010,30,BEF,C2,1,BE,10.152,461.6,9.29,6.27,1.18,1.04,0.03,0.48,NA,
2010,31,BEF,C2,1,RM,9.867,478.681,NA,NA,NA,NA,NA,NA,NA,
2010,32,BEF,C2,1,YB,8.244,459.647,18.17,7.04,3.37,0.83,0.08,0.37,NA,
2010,33,BEF,C2,1,BE,8.305,469.236,10.27,5.99,0.88,1.02,0.04,0.22,NA,
2010,34,BEF,C2,1,RM,6.525,477.942,NA,NA,NA,NA,NA,NA,NA,
2010,35,BEF,C2,1,WB,9.857,502.776,9.69,6.16,1.65,0.59,0.08,0.28,NA,
2010,,BEF,C2,1,PC,13.244,527.435,12.308,2.101,1.339,1.633,0.058,0.66,0.037688667,Imputed from litterfall basket
2010,36,BEF,C2,2,PC,14.439,487.925,13.08,9.83,2.46,0.36,0.05,0.8,NA,
2010,37,BEF,C2,2,WB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,38,BEF,C2,2,BE,11.275,467.874,9.52,6.4,1.13,1.03,0.05,0.4,NA,
2010,39,BEF,C2,2,PC,8.051,619.148,10.39,8.21,3.05,0.14,0.06,0.8,NA,
2010,40,BEF,C2,2,RM,6.898,483.942,NA,NA,NA,NA,NA,NA,NA,
2010,41,BEF,C2,2,YB,8.487,465.548,16.72,6.36,3.28,0.76,0.08,0.31,NA,
2010,42,BEF,C2,2,WB,NA,NA,10.62,5.29,2.07,0.67,0.07,0.34,NA,
2010,43,BEF,C2,2,BE,7.42,405.672,NA,NA,NA,NA,NA,NA,NA,
2010,44,BEF,C2,2,WB,11.15,499.093,NA,NA,NA,NA,NA,NA,NA,
2010,45,BEF,C2,3,PC,10.496,484.634,NA,NA,NA,NA,NA,NA,NA,
2010,46,BEF,C2,3,BE,10.52561045,471.8885803,9.843333333,5.716,1.042566667,3.1643,0.030433333,0.411433333,0.012666667,Measured in 2023
2010,47,BEF,C2,3,RM,5.108,NA,NA,NA,NA,NA,NA,NA,NA,
2010,48,BEF,C2,3,YB,7.788,NA,NA,NA,NA,NA,NA,NA,NA,
2010,49,BEF,C2,3,WB,10.097,NA,NA,NA,NA,NA,NA,NA,NA,
2010,50,BEF,C2,3,BE,7.89,NA,NA,NA,NA,NA,NA,NA,NA,
2010,51,BEF,C2,3,WB,8.915,NA,NA,NA,NA,NA,NA,NA,NA,
2010,52,BEF,C2,4,PC,12.129,NA,14.16,9.78,2.98,0.16,0.28,0.79,NA,
2010,53,BEF,C2,4,WB,10.862,NA,NA,NA,NA,NA,NA,NA,NA,
2010,54,BEF,C2,4,BE,10.517,NA,9.45,7.18,0.93,0.85,0.06,0.4,NA,
2010,55,BEF,C2,4,PC,17.162,NA,NA,NA,NA,NA,NA,NA,NA,
2010,56,BEF,C2,4,RM,6.846,NA,NA,NA,NA,NA,NA,NA,NA,
2010,57,BEF,C2,4,WB,9.254,NA,8.56,4.84,1.37,0.44,0.13,0.29,NA,
2010,58,BEF,C2,4,WB,5.399,NA,8.56,4.85,1.6,0.41,0.15,0.26,NA,
2010,59,BEF,C4,1,BE,6.335,NA,8.4,6.78,1.03,0.53,0.12,0.2,NA,
2010,60,BEF,C4,1,BTASP,9.216,NA,NA,NA,NA,NA,NA,NA,NA,
2010,61,BEF,C4,1,RM,9.037,NA,NA,NA,NA,NA,NA,NA,NA,
2010,,BEF,C4,1,YB,10.743,NA,12.392,5.106,1.402,1.511,0.122,0.334,0.036968771,Imputed from litterfall basket
2010,62,BEF,C4,2,BE,8.431,NA,8.67,6.2,1.03,0.7,0.11,0.26,NA,
2010,63,BEF,C4,2,BTASP,10.987,NA,NA,NA,NA,NA,NA,NA,NA,
2010,64,BEF,C4,2,RM,8.075600863,586.2875366,NA,NA,NA,NA,NA,NA,NA,
2010,65,BEF,C4,2,WB,11.07,NA,8.53,7.01,1.52,0.41,0.24,0.28,NA,
2010,66,BEF,C4,3,BE,11.218,NA,NA,NA,NA,NA,NA,NA,NA,
2010,67,BEF,C4,3,BTASP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,68,BEF,C4,3,PC,10.313,NA,NA,NA,NA,NA,NA,NA,NA,
2010,69,BEF,C4,3,RM,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2010,70,BEF,C4,3,YB,8.229,NA,11.75,6.39,1.68,0.51,0.25,0.34,NA,
