"","Site","Stand","Treatment","Species","PlotID","Nmid","Camid","Kmid","Mgmid","Pmid","Plot"
"1","BEF","C1","Control","BE","C1_3",10.2268732243333,4.77848579366667,4.96038365266667,1.21856656588889,0.399866398,3
"2","BEF","C1","Control","PC","C1_3",8.88718028183333,11.9466429626667,7.70974727833333,1.689052068,0.587102161166667,3
"3","BEF","C1","Control","RM","C1_3",10.6895,10.066744835,6.051840561,1.567199059,0.7443176955,3
"4","BEF","C1","Control","WB","C1_3",9.6535298135,9.058615741,5.50216595766667,1.43846023683333,0.4185810875,3
"5","BEF","C1","Control","YB","C1_3",11.466,13.01,6.11,2.54,0.53,3
"6","BEF","C1","N","BE","C1_2",10.8597294365,6.227627081,4.35991342966667,1.16886189883333,0.274780791,2
"7","BEF","C1","N","PC","C1_2",11.5078602341667,8.84997563533333,8.32208771766667,1.79353342366667,0.355480182666667,2
"8","BEF","C1","N","RM","C1_2",8.902,10.12,4.79,1.59,0.36,2
"9","BEF","C1","N","WB","C1_2",11.9484236741667,7.8945024045,6.28209537733333,1.16548004833333,0.286105500333333,2
"10","BEF","C1","N","YB","C1_2",12.81,9.98,5.82,1.99,0.28,2
"11","BEF","C1","NP","BE","C1_4",7.97356416883333,7.48346341666667,4.25070769283333,1.201885163,0.217411667333333,4
"12","BEF","C1","NP","PC","C1_4",8.68676624333333,10.7491314595,7.76749791383333,1.768046903,0.606442826833333,4
"13","BEF","C1","NP","RM","C1_4",7.713,11.22,3.55,1.88,0.32,4
"14","BEF","C1","NP","WB","C1_4",8.95302846933333,9.85970086716667,5.6370199755,1.4744108005,0.3674193525,4
"15","BEF","C1","NP","YB","C1_4",10.606,12.97,5.84,2.45,0.27,4
"16","BEF","C1","P","BE","C1_1",8.0652649505,9.6119292155,5.637620678,1.64784379683333,0.483348592666667,1
"17","BEF","C1","P","PC","C1_1",7.27636518583333,13.1351628025,8.68398124216667,2.039730057,1.97188913583333,1
"18","BEF","C1","P","RM","C1_1",7.316,8.37,5.19,1.56,0.68,1
"19","BEF","C1","P","WB","C1_1",10.3066675743333,9.795187605,6.60442336433333,1.53480351733333,0.937845650166667,1
"20","BEF","C1","P","YB","C1_1",10.266,14.08,6.62,2.89,0.85,1
"21","BEF","C2","Control","BE","C2_2",14.8985,6.735,8.17,1.695,0.535,2
"22","BEF","C2","Control","PC","C2_2",10.922,13.755,9.81,2.48,0.415,2
"23","BEF","C2","Control","RM","C2_2",7.6665,6.7,4.95,0.93,0.35,2
"24","BEF","C2","Control","WB","C2_2",11.7295,8.095,5.21,1.24,0.28,2
"25","BEF","C2","Control","YB","C2_2",10.6605,10.475,7.19,1.84,0.225,2
"26","BEF","C2","N","BE","C2_4",14.892,7.125,6.39,1.515,0.47,4
"27","BEF","C2","N","PC","C2_4",12.8205,10.75,10.68,2.265,0.445,4
"28","BEF","C2","N","RM","C2_4",8.5135,9.37,4.805,1.34,0.36,4
"29","BEF","C2","N","WB","C2_4",10.976,6.235,5.82,1.11,0.285,4
"30","BEF","C2","N","YB","C2_4",11.2475,13.215,9.565,2.49,0.32,4
"31","BEF","C2","NP","BE","C2_1",11.6845,7.51,7.12,1.415,0.735,1
"32","BEF","C2","NP","PC","C2_1",9.535,11.865,6.28,1.995,0.7,1
"33","BEF","C2","NP","RM","C2_1",7.3465,6.085,3.01,0.84,0.59,1
"34","BEF","C2","NP","WB","C2_1",7.91,7.385,4.025,1.095,0.71,1
