"","Site","Stand","Species","PlotID","Nlitpre","Calitpre","Klitpre","Mglitpre","Plitpre","Mnlitpre","Plot"
"1","BEF","C1","BE","C1_1",11.81,9.91055001,7.8703738695,1.393820343,0.482153122,0.964333619,1
"2","BEF","C1","BE","C1_2",13.521,10.265,7.985,1.355,0.545,0.91,2
"3","BEF","C1","BE","C1_3",12.1976666666667,8.52531739333333,8.885005496,1.31904258333333,0.55528427,1.07123909933333,3
"4","BEF","C1","BE","C1_4",7.8525,8.9701604395,6.734446752,1.2384500765,0.385416249,1.3353925495,4
"5","BEF","C1","PC","C1_1",13.36875,12.24723165,10.0715738306667,2.54439020133333,0.816547182666667,0.090936279,1
"6","BEF","C1","PC","C1_2",14.1175,12.475,9.915,2.585,0.81,0.255,2
"7","BEF","C1","PC","C1_3",15.907,11.248317505,11.062832854,2.1924311825,0.9435032405,0.0979647275,3
"8","BEF","C1","PC","C1_4",14.6956666666667,12.102916625,11.034558992,2.1503222655,0.923305723,0.19883333,4
"9","BEF","C1","RM","C1_2",7.15,10.58300541,6.677248824,1.494639993,0.414323515,1.413504986,2
"10","BEF","C1","RM","C1_3",6.01,11.05739471,3.90936991,1.718799552,0.333702405,1.408256757,3
"11","BEF","C1","RM","C1_4",7.913,11.17761561,5.037263056,1.3849967,0.353022422,2.576993596,4
"12","BEF","C1","SM","C1_3",9.72,12.83882726,7.289670124,1.635725501,0.375374252,0.916180383,3
"13","BEF","C1","WB","C1_1",8.4315,11.790635195,7.261872214,1.950883103,0.350358561,1.084384736,1
"14","BEF","C1","WB","C1_2",11.224,10.2590065595,5.954978352,2.025214174,0.4780761605,1.5050342315,2
"15","BEF","C1","WB","C1_3",11.742,11.981555625,7.342667142,2.39207602,0.444260686,1.54024863,3
"16","BEF","C1","WB","C1_4",9.886,11.505435395,6.8652815485,1.7074071335,0.359268018,1.8491305025,4
"17","BEF","C1","YB","C1_1",10.658,9.674950215,7.5221011445,1.7627058655,0.411762473,1.7831873385,1
"18","BEF","C1","YB","C1_2",10.79,11.30516361,6.354260991,2.12333031,0.532199901,3.896475936,2
"19","BEF","C1","YB","C1_3",8.859,18.17,4.850100471,3.201236085,0.299165411,1.518687668,3
"20","BEF","C1","YB","C1_4",12.965,10.71,8.77,2.01,0.35,1.56,4
"21","BEF","C2","BE","C2_1",8.94233333333333,9.44613477733333,6.14955455333333,0.969771517666667,0.359809332666667,1.38482446666667,1
"22","BEF","C2","BE","C2_2",9.165,8.3754733815,6.4323862625,1.171540052,0.2,1.650349508,2
"23","BEF","C2","BE","C2_3",8.91853681666667,9.3136928225,6.1054884285,1.0047525975,0.3693082335,2.7526135005,3
"24","BEF","C2","BE","C2_4",10.5585,9.0294935005,6.4224584585,0.9418901665,0.449233731,1.3464574545,4
"25","BEF","C2","PC","C2_1",13.244,12.308,2.101,1.339,0.66,1.633,1
"26","BEF","C2","PC","C2_2",11.0366666666667,11.24184527,8.57428823266667,2.61452046966667,0.725704687,0.197939689666667,2
"27","BEF","C2","PC","C2_3",10.496,10.39846082,4.85,0.984881501,0.334,1.2966831035,3
"28","BEF","C2","PC","C2_4",14.6455,14.16,9.78,2.98,0.79,0.16,4
"29","BEF","C2","RM","C2_1",7.5192,11.137499355,2.7834530075,1.2539289525,0.2822306875,1.413801033,1
"30","BEF","C2","RM","C2_2",6.519,10.82502983,4.06507492,1.292170441,0.300027418,2.526792366,2
"31","BEF","C2","RM","C2_3",5.574,9.418754737,4.443920577,1.200976179,0.337639644,1.414566343,3
"32","BEF","C2","RM","C2_4",6.198,10.19797244,4.339596818,1.445566838,0.311101399,1.518687668,4
"33","BEF","C2","WB","C2_1",7.9785,9.100036049,4.9703121445,1.5986945145,0.289755542,1.4033063045,1
"34","BEF","C2","WB","C2_2",10.115,9.9583807945,6.232692207,1.846423564,0.304995086,1.5441045425,2
"35","BEF","C2","WB","C2_3",9.25066666666667,10.6477147,6.055400619,2.001691634,0.343857143,2.64512166,3
"36","BEF","C2","WB","C2_4",8.24875,8.77797337833333,4.91557729133333,1.600393923,0.183333333333333,1.088665793,4
"37","BEF","C2","YB","C2_1",8.244,18.17,7.04,3.37,0.37,0.83,1
"38","BEF","C2","YB","C2_2",9.0585,13.41961115,6.72678849,2.589525484,0.3169229815,2.1505536125,2
"39","BEF","C2","YB","C2_3",7.294,15.23272152,7.419540929,3.201236085,0.362646985,3.748375734,3
